subject_id,session,stepsize_block1,stepsize_block2,stepsize_block3,stepsize_block4,stepsize_mean
1,pretest,30,48,44,50,43
1,training1,28,56,34,48,41.5
1,training2,18,48,32,46,36
1,posttest,26,44,40,46,39
2,pretest,48,56,46,56,51.5
2,training1,44,56,46,56,50.5
2,training2,46,54,46,56,50.5
2,posttest,44,54,34,54,46.5
3,pretest,28,44,38,NaN,36.6666666666667
3,training1,34,NaN,24,NaN,29
3,training2,44,40,18,44,36.5
3,posttest,30,34,24,36,31
4,pretest,NaN,58,28,52,46
4,training1,32,52,36,44,41
4,training2,20,36,14,34,26
4,posttest,24,30,16,30,25
5,pretest,40,NaN,44,48,44
5,training1,42,52,42,54,47.5
5,training2,34,38,28,48,37
5,posttest,28,48,32,44,38
6,pretest,24,28,44,26,30.5
6,training1,NaN,34,26,34,31.3333333333333
6,training2,24,26,24,38,28
6,posttest,44,38,48,32,40.5
7,pretest,32,54,28,28,35.5
7,training1,30,50,30,28,34.5
7,training2,30,30,30,54,36
7,posttest,44,34,40,34,38
99,pretest,NaN,NaN,NaN,NaN,NaN
