subject_id,session,stepsize_block1,stepsize_block2,stepsize_block3,stepsize_block4,stepsize_mean
1,pretest,30,44,42,48,41
1,training1,28,54,32,48,40.5
1,training2,18,44,32,44,34.5
1,posttest,26,44,40,44,38.5
2,pretest,44,54,40,54,48
2,training1,42,54,44,52,48
2,training2,44,52,44,54,48.5
2,posttest,38,52,32,52,43.5
3,pretest,28,42,30,56,39
3,training1,32,58,22,56,42
3,training2,42,40,18,40,35
3,posttest,28,34,22,32,29
4,pretest,58,48,28,50,46
4,training1,30,50,36,40,39
4,training2,20,34,12,34,25
4,posttest,22,30,16,28,24
5,pretest,40,NaN,42,46,42.6666666666667
5,training1,42,48,42,40,43
5,training2,32,38,28,46,36
5,posttest,28,46,32,44,37.5
6,pretest,24,24,42,26,29
6,training1,58,34,26,32,37.5
6,training2,20,24,22,32,24.5
6,posttest,44,34,44,32,38.5
7,pretest,32,52,28,28,35
7,training1,26,48,26,28,32
7,training2,30,28,28,54,35
7,posttest,42,30,40,30,35.5
99,pretest,NaN,NaN,NaN,NaN,NaN
